member_id|set_en|set_ur|sort_order|gloss_ur|nuance_en|nuance_ur|topic_id|book_ref
NSM:THIRSTY:THIRSTY:X233258C6|Thirsty|پیاسا|5|پیاسا|Thirsty||P42|Kailani — topic P42
NSM:TIME:TIME:X098777C2|Time|وقت|9|وقت|Time||GG23|Kailani — topic GG23
NSM:TO:TO_ANSWER_REPLY:X36A9D753|To answer, reply|جواب دینا|1|جواب دینا|To answer, reply||J17|Kailani — topic J17
NSM:TO:TO_ANSWER_REPLY:X843F3AF5|To answer, reply|جواب دینا|4|جواب دینا|To answer, reply||J17|Kailani — topic J17
NSM:TO:TO_ASK:X3CD495DB|To ask|پوچھنا|4|پوچھنا|To ask||P22|Kailani — topic P22
NSM:TO:TO_ASK_FOR_REFUGE_TO_GIVE_REFUGE:X29A1B4EA|To ask for refuge, to give refuge|پناہ مانگنا - دینا|3|پناہ مانگنا - دینا|To ask for refuge, to give refuge||P21|Kailani — topic P21
NSM:TO:TO_ASK_FOR_REFUGE_TO_GIVE_REFUGE:X94A4411D|To ask for refuge, to give refuge|پناہ مانگنا - دینا|4|پناہ مانگنا - دینا|To ask for refuge, to give refuge||P21|Kailani — topic P21
NSM:TO:TO_ASK_FOR_WATER:XFA1E886E|To ask for water|پانی مانگنا|3|پانی مانگنا|To ask for water||P7|Kailani — topic P7
NSM:TO:TO_ATTACK:XDEDD8A71|To attack|حملہ کرنا|1|حملہ کرنا|To attack||HA13|Kailani — topic HA13
NSM:TO:TO_ATTAIN_STATUS:X1B53A4EC|To attain status|رتبہ پانا|5|رتبہ پانا|To attain status||R6|Kailani — topic R6
NSM:TO:TO_BECOME_MANIFEST_REVEALED:X9C874ED1|To become manifest, revealed|ظاہر ہونا|9|ظاہر ہونا|To become manifest, revealed||ZA1|Kailani — topic ZA1
NSM:TO:TO_BECOME_OVERPOWERED_TO_BE_OVERPOWERED_TO_OVERPOWER:XEFE0F032|To become overpowered, to be overpowered, to overpower,|غالب آنا  ہونا کرنا|6|غالب آنا  ہونا کرنا|To become overpowered, to be overpowered, to overpower,||GH3|Kailani — topic GH3
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:X51C9A584|To bend, bow, incline, stoop|جھکنا مائل ہونا|1|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:X36A9D753|To bend, bow, incline, stoop|جھکنا مائل ہونا|2|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:X84D816DC|To bend, bow, incline, stoop|جھکنا مائل ہونا|3|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:X29B50A05|To bend, bow, incline, stoop|جھکنا مائل ہونا|4|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
NSM:TO:TO_BEND_BOW_INCLINE_STOOP:XA0F49047|To bend, bow, incline, stoop|جھکنا مائل ہونا|5|جھکنا مائل ہونا|To bend, bow, incline, stoop||J23|Kailani — topic J23
